Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SONACOMS,2023-06-05,523.84,527.75,514.43,518.35,1934956,0.9083,-0.014222,0,-0.2533,-1,0.01048,0.007543,0.007562,-0.031297,0.1017,0,0.1622,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-06,520.94,524.08,513.35,517.37,1404825,0.6594,-0.016446,0,-0.0936,-1,0.006853,0.006069,0.00777,-0.021646,0.0759,0,0.1626,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-07,519.18,523.84,517.66,522.17,1519065,0.7118,-0.021302,0,0.462,1,0.005759,0.003198,0.002911,-0.003929,0.5884,0,0.1672,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-08,523.2,533.0,517.86,519.87,2628912,1.2267,-0.012169,0,-0.2136,-1,0.006365,0.018851,0.003866,0.03117,1.3539,0,0.1652,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-09,522.61,529.08,518.4,524.52,3872644,1.7966,-0.010118,0,0.4448,1,0.003655,0.008694,0.008026,0.004253,1.7044,0,0.1404,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-12,524.86,526.58,516.49,518.15,1088532,0.5046,-0.014043,0,-0.5937,-1,0.012784,0.00332,0.003204,0.032086,0.5177,0,0.1925,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-13,521.24,523.39,517.42,518.94,1020347,0.4726,-0.010453,0,0.0847,-1,0.004413,0.004143,0.002929,0.027437,0.5037,0,0.187,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-14,521.04,521.04,497.72,499.54,2256756,1.0439,-0.07115,0,-1.8204,-1,0.041264,0.0,0.003643,-0.000183,1.0383,0,0.1245,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-15,501.94,508.4,501.94,503.99,1019204,0.4713,-0.040187,0,0.4553,1,0.004084,0.00875,0.0,-0.016828,0.5505,0,0.1594,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-16,507.13,512.32,503.7,509.48,1214715,0.5615,-0.037073,0,0.5535,1,0.004634,0.005574,0.006732,0.000814,0.9203,0,0.1686,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-19,511.2,519.28,509.58,511.88,1182382,0.5461,-0.020324,0,0.2483,1,0.00133,0.014457,0.003165,0.0,0.8832,0,0.1652,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-20,512.03,514.18,504.19,505.37,816671,0.377,-0.03414,0,-0.6074,-1,0.013007,0.004254,0.002335,0.000356,0.6292,0,0.1939,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-21,507.52,514.18,497.72,502.48,1682425,0.7749,-0.044421,0,-0.2616,-1,0.009931,0.013254,0.009473,0.041692,1.4221,0,0.1813,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-22,505.56,510.46,501.99,503.6,725732,0.3342,-0.038153,0,0.1203,-1,0.003877,0.00973,0.003197,0.026387,0.6454,0,0.1873,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-23,505.56,506.44,495.08,496.65,668179,0.3077,-0.059083,0,-0.675,-1,0.017624,0.001772,0.003161,0.03462,0.6583,0,0.1804,0,0,0.0,0.0,NO_SIGNAL
